,弹幕内容
1264,脱完了要
1265,取材取材
1266,长大了
1267,拜拜咯！
1268,你不也是吗
1269,留个jio印
1270,ova
1271,留个印记
1272,危！
1273,哟西
1274,哈哈哈哈
1275,可爱
1276,一天肝完
1277,哈哈哈哈哈
1278,哈哈哈哈哈
1279,妙啊
1280,妙啊
1281,留下手印
1282,太小了吧......
1283,阿伟乱葬岗
1284,按个jio印
1285,这糟糕的台词
1286,感谢陪伴
1287,老火影玩家了
1288,留下jio印
1289,语言指导：菜月昂
1290,车车，好快的车车
1291,np
1292,美丽哥
1293,留下jio印
1294,男主在期待些什么
1295,到站了
1296,火影玩家觉得很淦
1297,???
1298,那个留下液体的，你够了
1299,留下脱氧核糖核酸
1300,老夫的眼睛啊
1301,留下DNA
1302,恶龙抢食
1303,万恶马赛克
1304,???
1305,一天一遍
1306,钉钉时代
1307,连肝12集
1308,哈哈哈哈
1309,他们俩没有血缘的
1310,哈哈哈
1311,。。。
1312,留个爪爪
1313,留下自己的脚印
1314,嘻嘻嘻嘻
1315,毛毛呢
1316,危危危危危危
1317,嘻嘻嘻嘻嘻
1318,留下夜来香
1319,jiao
1320,嘿嘿嘿
1321,留个jio印，1天肝完的
1322,小埋化
1323,洞洞哎
1324,看见洞洞了
1325,演示一下(滑稽)
1326,留下腋来香
1327,留下Y染色体
1328,留个小爪爪
1329,摄影师把镜头对准你该对准的人
1330,各位把手从裤子里拿出来
1331,这TM是火箭吧
1332,哥哥的流氓觉醒了
1333,马赛克去掉就更好了
1334,工口就是工人阶级的精神口粮
1335,名场面预警
1336,恶龙护食
1337,男孩子在外要保护自己
1338,留个爪
1339,嘿嘿嘿嘿嘿嘿
1340,闭眼新世界
1341,啊这。。
1342,啊这，，，，，，，，，，，
1343,hhhhhc
1344,嘻嘻嘻嘻嘻嘻
1345,啊这。。。
1346,留下遗传物质
1347,这。。。
1348,拜拜了各位
1349,下季见！
1350,绅士下车
1351,留下jio气
1352,nb
1353,火影玩家表示有被冒犯到。
1354,留下DNA
1355,祖传表情
1356,留下jio印
1357,留下染色体
1358,等会儿，班长惠呢
1359,////////
1360,留下jio印，感谢陪伴
1361,考古结束
1362,脚印
1363,留个脚印
1364,留jiojio
1365,留下非凡哥
1366,脚印
1367,下季见咯
1368,所以，色影师到底是男是女？
1369,到站了
1370,医学奇迹
1371,被遗忘的两人
1372,抢篮板，哎~
1373,配音室里欢乐多
1374,臣附议!!!
1375,目不识丁
1376,十级地板语
1377,大力丸
1378,正确的捂眼方式
1379,女少口阿！
1380,工口
1381,留染色体
1382,东亚醋王
1383,绅士们，下季见
1384,工口精神粮
1385,动作指导；毒液
1386,流下口水
1387,把你摸秃
1388,呼叫班长
1389,Q w Q
1390,在劫难逃。
1391,贼喊捉贼
1392,留个DNA
1393,万恶的马赛克
1394,前方高能火箭
1395,摄影师深陷鸡腿堆里无法自拔
1396,没~蛋~蛋！
1397,绅士们下季间(滑稽)
1398,现在手里有帐篷的兄弟萌扣个一
1399,留个jio音
1400,jio
1401,留个爪子
1402,画小了
1403,留下小爪爪
1404,动作指导：小埋
1405,车车
1406,留jio印！
1407,留下jio印
1408,超速了超速了
1409,留个爪爪，下一季见兄弟萌
1410,留下染色体
1411,留下jio印
1412,记笔记
1413,艺术不需要马赛克
1414,下车了
1415,一克嗖 永带妹
1416,留下jio气
1417,肤色指导:凸守
1418,万恶的马赛克
1419,魔鬼
1420,看条识蛋
1421,老绅士
1422,楼上那俩腰已经断了。
1423,填空题答案     (之)
1424,感谢陪伴
1425,前方高能！！！！
1426,大家拜拜咯
1427,哈哈哈哈嗝
1428,划重点 可爱的地方
1429,多猩猩抬个肾那
1430,进度单
1431,hhhh
1432,留个小jiojio的印
1433,本级非常高能
1434,有女生吗
1435,班长知道
1436,拜拜~
1437,拜拜~
1438,高能预警
1439,高能预警
1440,斩灭剑
1441,不只是想摸头吧
1442,这叫摸头？
1443,摄影师看着办
1444,这美妙的弧线
1445,这糟糕的台词
1446,日本真好
1447,工口
1448,拜金可还行
1449,摄影师拉出去喂老鼠
1450,留根手指
1451,妙啊
1452,女少口阿
1453,留个脚印
1454,要下车了
1455,危危危危危
1456,艺术！！！！
1457,有下一季吗
1458,尾  蛋。懂?
1459,妙啊
1460,摸头的特殊效果
1461,没蛋蛋-------------
1462,哦吼魔鬼
1463,嘿嘿嘿哈哈哈嘿嘿嘿
1464,屏幕前的观众请收起你的姨母笑
1465,嘿嘿嘿嘿嘿嘿嘿嘿
1466,害怕
1467,哟西哟西
1468,快停车，太快了
1469,WC
1470,这一天，她们成长了
1471,万恶的马赛克
1472,好想法
1473,留下爪爪~
1474,不愧是你
1475,《大卫》就很棒
1476,真：奥义摸头杀
1477,看就看还摸
1478,留下爪印
1479,牛头on
1480,留个头
1481,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1482,前方高能预警——————————————
1483,留个jio印
1484,铁十字飞机
1485,加鸡腿！！！
1486,赛高啊
1487,留jio印
1488,不行要笑死。
1489,◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
1490,没后续了。
1491,撒花撒花。
1492,撒花撒花，撒花撒花。
1493,按f自杀
1494,窃格瓦拉
1495,撒花撒花。
1496,本秀全剧终
1497,抓爪。
1498,◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
1499,留下帽子。
1500,大卫
1501,声音指导：“富坚”
1502,113人了！！！、
1503,全彩r18吗
1504,首尾呼应
1505,八嘎
1506,？？
1507,全彩r18
1508,严肃，不要笑
1509,留下脚气
1510,这就把哥哥卖了
1511,出门了！
1512,老绅士出手了
1513,怪怪的
1514,上啊
1515,jio印
1516,钉钉结束时代留言
1517,ヾ(✿ﾟ▽ﾟ)ノ
1518,留下美好的回忆
1519,握住命脉
1520,jio印
1521,想起了小埋
1522,纱雾是你的时间了
1523,快疯了
1524,上面两个疯了
1525,继续呀
1526,打啥码啊
1527,危危危
1528,狠人
1529,车门开了
1530,相信哦哦XXOO
1531,jio印
1532,哥哥下去。换士织
1533,撒花撒花~
1534,小脚
1535,紗ーーーーーーーーーーーーーーーーーーーーーーーーーーーー霧ーーーーーーーーーーー
1536,你会变得更强
1537,iio
1538,小O一手，P抖没有
1539,你们绝对是魔鬼
1540,留下液体
1541,留个爪爪
1542,留个爪
1543,蛋包饭
1544,学成归来
1545,学成归来
1546,学成归来
1547,阿伟乱葬岗
1548,你还真别说……
1549,留下小jio气
1550,德意志三翼飞机
1551,留下DNA
1552,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1553,//////////////////////
1554,BBBBBBBB
1555,jio印
1556,下一站:中二病也要谈恋爱.
1557,留下tyh糖
1558,请乘客们坐稳扶好，下一站:中二病也要谈恋爱
1559,左下角好东西
1560,留下jio气
1561,瞬间原形毕露
1562,颅内高潮
1563,还上头了
1564,雾纱
1565,惠惠？
1566,保罗大卫
1567,举个猪蹄
1568,撒花撒花
1569,好小啊
1570,就这？？
1571,逻辑鬼才
1572,あなたもダンスを思い出しますか？和泉征宗
1573,停下，请出示你的火箭驾驶证
1574,留下脚印
1575,鬼才，评论区的都是鬼才
1576,他还是个孩子呀
1577,留下jiao印
1578,火影玩家：摸头？你敢再说一遍吗？
1579,上瘾了上瘾了
1580,留下DNA
1581,留下脚影
1582,脚印yang
1583,留下涩涩
1584,是打玛了还是本身就这样
1585,摸头杀
1586,知道才是个问题吧
1587,神tm怎么过的审
1588,艺术不要打玛
1589,你不是个艺术家真的枉了
1590,留下手G印
1591,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1592,笑死了
1593,炸裂了
1594,老绅士
1595,可，爱的地方
1596,摸头点赞，不服就干
1597,！！！！！！！！！！！！！！！
1598,二乔行为
1599,这是超音速飞机。
1600,撒花
1601,"(ﾉ""◑ڡ◑)ﾉ"""
1602,xswl
1603,！！！！！！！！！！！！！！！！！！！！！！！！
1604,下一季在哪
1605,这叫艺术好吗
1606,臣附议！！！！！
1607,叫阿宗，应该属于关系好的同学或亲梅
1608,到站，下车了
1609,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1610,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1611,正确的捂眼方法
1612,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1613,艺术不需要马赛克！
1614,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1615,留下脚气
1616,到站了
1617,台词指导：rewrite（天王寺瑚太朗））
1618,留下爪爪
1619,真正的艺术不需要马赛克
1620,危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危
1621,完了，一夫四妻了
1622,！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1
1623,留下jiao印
1624,留个证明
1625,醋坛子翻了
1626,一出手就知道是元老级绅士了
1627,◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
1628,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1629,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
1630,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1631,正确的捂眼方式
1632,一场由金金引发的血案
1633,留个爪
1634,哈哈
1635,喂喂喂喂喂喂喂
1636,妙啊
1637,还有人记得班长么？？？
1638,留下小憨堡
1639,无敌猫爪
1640,你也是加把劲骑士
1641,说扇贝的。。。强啊！！！
1642,不记得剧情就回来
1643,"亲,这边建议反过来使用"
1644,留下祖传染色体
1645,留下脚印
1646,感谢卤蛋，留下爪爪
1647,工 
1648,班长没了
1649,留下大fff团的标志
1650,留下人影
1651,留下花花
1652,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1653,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1654,◣◥◣◥◣◥◣◥◣◥◣◥◣◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1655,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
1656,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◥
1657,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◣◥◣◥
1658,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1659,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1660,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1661,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1662,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◣◥◣◥◣◥
1663,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1664,关掉屏幕发现新世界
1665,◣◥◣◥◣◥◣◥◣◥◣◣◥◣◥◣◥◣前方高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
1666,脱脱脱脱脱脱脱脱脱脱脱脱
1667,嘿嘿嘿嘿嘿嘿
1668,期待下一季
1669,这是。。。福娃？
1670,奇怪的动作增加了
1671,留个爪子
1672,艺术不需要马赛克
1673,祖传染色体来一条
1674,给摄影师加托尔的尾巴
1675,好嗨哦
1676,留下脚印
1677,哈哈哈哈
1678,艺术就是爆炸
1679, 怎么过的申啊！！！
1680,前方高能预警，各位绅士做好准备
1681,后会有期
1682,进来做做嘛
1683,币，懂？
1684,撒花
1685,留下jiao印
1686,专 业
1687,狙击手失血过多
1688,留下爪印
1689,给摄影师5粒饭。
1690,撒有哪啦！洗衣姬~
1691,。。。。。。
1692,多猩猩抬个肾呐
1693,真是怠惰
1694,。。。。。。。。。。
1695,正确捂眼方式
1696,留下染色体
1697,留下屁屁
1698,摸头习见秒变超影
1699,嘿吉
1700,留个脚印，证明来过
1701,撒花
1702,摸个头而已啊
1703,阿斯玛
1704,好兄弟
1705,真正的绅士
1706,实干派
1707,留下脚印
1708,老绅士了
1709,留下脚印，感谢陪伴！～～
1710,折磨王
1711,发个屁
1712,留下爪爪
1713,留下脚印
1714,友情提醒！ova献初吻了哦‎|•'-'•)و✧
1715,土间埋行为
1716,大爹吧you
1717,脚印
1718,小埋行为
1719,快结束了好舍不得
1720,留个屁
1721,留个爪
1722,完了，修罗场开启
1723,jio
1724,不公平，为什么男性的可以露
1725,留下猪蹄印
1726,又多了一个
1727,留下脚印
1728,就这？就这就这？
1729,大脑在颤抖
1730,同意
1731,嘿嘿嘿嘿嘿嘿
1732,吾辈之楷模
1733,留个爪爪
1734,留j
1735,jio应
1736,弾幕を弾幕に隠す
1737,人言否？
1738,留jio气
1739,撒花！
1740,连干12集，爽
1741,撒花撒花
1742,多猩猩抬个肾呐！
1743,撒花花！
1744,就这?
1745,感谢陪伴
1746,留下一血
1747,留下棍
1748,狼虎之词
1749,炸了
1750,封号斗罗？
1751,臣附议
1752,肝完了肝完了
1753,嘿嘿嘿嘿
1754,留个脚印
1755,握草，好可爱
1756,牛壁
1757,龙卷风摧毁停车场
1758,握草
1759,留下一个鸟嘌呤
1760,这就叫目不识丁
1761,留个脚印
1762,前方可是地狱啊【万恶之源】
1763,win~win~win
1764,闭眼新世界
1765,留个jio印
1766,嚯嚯
1767,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1768,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1769,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1770,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1771,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1772,危危危危危危危危危危危危危
1773,前方中文十级预警
1774,危危危危危危危危危危危危危危危危危危危危危危危危危危
1775,哪都可爱
1776,语言指导：486
1777,亲妈真传
1778,留下脚印
1779,填空题：死去（）（）万事（）
1780,艺术就是爆炸
1781,留下爪子
1782,洗衣姬哎
1783,S~e~x
1784,没了吗？
1785,名场面
1786,哦吼吼吼吼吼
1787,后宫の内讧
1788,一夫亿妻
1789,摸头起手 等下穿三
1790,hhhhh
1791,奥义 瞬间变脸
1792,变脸吗 什么时候！
1793,狙击手已就位
1794,OVA见
1795,血亏这一波
1796,你会变得更强！
1797,工人阶级精神口粮
1798,留下脚印
1799,ヾ(✿ﾟ▽ﾟ)ノ
1800,哇透
1801,留个jio印
1802,真是个小机灵鬼啊= =
1803,有下一季吗？
1804,这样发展还得好几季==
1805,纳 粹 余 孽[doge]
1806,亲，币，丝，二，懂？
1807,下季见，拜
1808,各位下期见
1809,留下鼠式
1810,摸头点赞
1811,撒花
1812,和某你在犯罪
1813,WC
1814,有点橘
1815,撒花
1816,发生了什么？
1817,WC
1818,完結撒花，感謝陪伴
1819,老子都快笑出猪声了
1820,！！！！！！！！！！！！！！！！！！
1821,竹笋山脉
1822,伏见老贼:你别说，还真是。
1823,nb
1824,哇草！！！！！！！！
1825,！！！！！！！！！
1826,猿形暴露
1827,！！！！！！！！！！！
1828,好机智
1829,你特娘还真是个天才
1830,WC！！！！！！！
1831,WC
1832,牛皮
1833,摄影师说吧今晚是想鸡腿里找饭还是满汉全席里找餐厅
1834,留个鸡爪
1835,导演，摄影师，伏见老贼今晚满汉全席加鸡腿
1836,大卫————!!!
1837,妙啊妙啊
1838,神TM掀开头盖骨
1839,色影师今晚就算是要吃特朗普都给你抓过来
1840,大卫表示疑惑
1841,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
1842,摄影师就没有吃过一粒米
1843,摄影师今晚满汉全席
1844,啊这
1845,米开朗基罗
1846,赚了
1847,马赛克你明天不用来上班了
1848,全部留下。
1849,8p
1850,一服一
1851,撒花撒花
1852,留下脚气
1853,撒花
1854,大舅哥你还好吗
1855,留下俺的唧唧
1856,为了工人阶级口粮！
1857,吼吼吼吼吼
1858,山崎龙二
1859,留下jio气
1860,留下15倍
1861,请闭眼享用
1862,hhh
1863,留下亲热天堂
1864,不错
1865,留下爪印
1866,叕；来
1867,老套路了
1868,动作指导：富堅勇太
1869,感谢陪伴
1870,撒花花啦
1871,后会有期
1872,牛B
1873,留个jio
1874,留个爪爪
1875,萌混过关
1876,jio
1877,师傅上号了
1878,奇怪的声音增加了！
1879,哇哈哈哈哈
1880,细节教学
1881,真.飞机
1882,留特别的个jio音
1883,奇怪的知识增加了！！！
1884,完結撒花，感謝陪伴
1885,留个小爪爪~~
1886,库嘿嘿
1887,感谢陪伴
1888,⌯'ㅅ'⌯
1889,下一季见了
1890,前方高能
1891,这这……这不是
1892,撒花撒花
1893,工口
1894,前方高能
1895,留下基因
1896,留个印记
1897,表情指导：千反田爱瑠
1898,留下妙蛙种子
1899,留下jio气
1900,多谢兄弟
1901,哈哈哈
1902,留个爪哈哈哈哈
1903,|\\\\\\\\万恶之源\\\\\\\\\|
1904,前方核能
1905,发现新世界了
1906,一直以为是个胖胖～
1907,居然这样对待孩子
1908,发现新世界了
1909,谁敢跳手打断
1910,谁敢跳op手打断
1911,留下和纱雾的孩子
1912,留下爪印
1913,前方高能预警
1914,按下手印
1915,留下脚丫
1916,快发
1917,是不是有一部分没有遮住
1918,下车了
1919,感谢陪伴
1920,钉钉时代结束
1921,op不要走
1922,后会有期
1923,新的女人
1924,谁抖小手，打断op
1925,开头见，嗷
1926,谁抖op，打断小手
1927,留在鸡腿
1928,进去了〈滑稽〉
1929,楼下脚印
1930,感谢陪伴
1931,前方大伊万
1932,奇怪的声音
1933,留下小爪爪
1934,哦豁，危危危危危危危危
1935,留下户口本
1936,醋坛子翻了
1937,掰掰喽各位绅士们
1938,（•）（•） |•||•| \•/\•/
1939,留个脚印
1940,留个爪子
1941,这个姿势（手动滑稽）
1942,惠不是说看过吗
1943,危危危危危危危危
1944,就这
1945,留下分泌物
1946,奇怪的后宫又增加了
1947,多猩猩抬个肾啊！
1948,留下jio气
1949,留个爪痕
1950,留下个寂寞
1951,都是老身上
1952,他还只是个孩子啊！！！
1953,都是老绅士了（滑稽）
1954,一个个都开始了昂
1955,色隐私
1956,juo印
1957,留下痕迹
1958,按个手印
1959,都是老绅士了啊（滑稽滑稽）
1960,万恶之源——马赛克君
1961,这是情敌啊
1962,掰掰
1963,根本不能一起愉快的玩耍
1964,鸡嘎摸都……
1965,留下爪子
1966,留下一只阿蒙
1967,留下小jiojio
1968,留下jio印，同qing
1969,留下jio
1970,难道长错地方啦？
1971,鸡腿加摄影师
1972,血亏，亏亏亏
1973,漏了个缝。
1974,吉吉国王没有发现毛毛。
1975,医疗兵加血加血。
1976,前方核能前方核能。非战斗人员。迅速撤离。
1977,前方核能非战斗人员。迅速撤离。
1978,前方核能。非战斗人员。迅速撤离。
1979,前方核能非战斗人员。迅速撤离。
1980,完美撒花
1981,留下jio印
1982,赫赫赫赫
1983,前方核能。非战斗人员。迅速撤离。
1984,前方核能。非战斗人员。迅速撤离。
1985,前方核能。非战斗人员。迅速撤离。
1986,前方核能。非战斗人员。迅速撤离。
1987,前方核能。非战斗人员。迅速撤离。
1988,好一个大卫。
1989,多猩猩抬个肾呐！
1990,哇塞
1991,可以，这很工口
1992,留下一片空气
1993,娇羞
1994,女生，这里
1995,撒花喽！
1996,下一站：EVA
1997,真实
1998,留下喵爪爪
1999,车门以焊死
2000,留下小爪爪
2001,撒花
2002,jiojio
2003,按F绞杀
2004,这上头的
2005,留下jiu印
2006,貢ぎ口
2007,留个脚气。
2008,dokidoki?
2009,hhhc
2010,危危危危危危危危危危危危危危危危危危
2011,祖传痴汉笑
2012,表情
2013,鸡蛋蛋？
2014,她鲨疯了
2015,留下头发
2016,！！！！
2017,期待下期
2018,留个爪爪
2019,留下爪爪
2020,眼熟的剧情！
2021,摸头而已，你不要这么兴奋啊
2022,可以可以
2023,留个小jiojio的印
2024,ILIL
2025,留下项上人头
2026,留下爪子
2027,留下抓痕
2028,jiojio
2029,……………………………………在死亡边缘疯狂试探
2030,留脚印
2031,4飞？
2032,脚下jio印
2033,留下项上人头
2034,bo ki
2035,留下屁
2036,jio印
2037,留下爪印
2038,完了要坑小孩子了
2039,小孩子，你很危险
2040,绅士留言
2041,ZAIJIAN \
2042,ZAIJIAN
2043,XSIJISN
2044,+---------+
2045,留个爪
2046,前方超高能预警
2047,世界名画
2048,小手一抖，OP没有
2049,思想是真的优秀。
2050,留下姨妈笑
2051,不愧是你
2052,上流
2053,莱纳，要做吗，在这里！
2054,锁孔看他～
2055,彼得•帕克
2056,官方本
2057,拜拜啦
2058,小飞机友情客串
2059,臣卜木曹
2060,车车，好快的车车
2061,录音棚里欢乐多
2062,艺术不需要马赛克！
2063,摸头反杀
2064,老绅士要出手了
2065,◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣已经高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
2066,◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣已经高能◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣
2067,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
2068,神奇的马赛克
2069,疯狂暗示！！！！！！！！！！！
2070,留下jiojio
2071,真正的艺术
2072,留个脚印
2073,真上流
2074,嘿嘿嘿嘿嘿嘿嘿嘿！
2075,盖手印了
2076,跳op的打断腿
2077,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
2078,正宗上啊！都暗示到这个地方了！
2079,嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿
2080,亲一下啊
2081,几秒不见
2082,留下JIO印
2083,大脑在颤抖
2084,留下爪爪
2085,看不到车
2086,快要完了
2087,留下jiao jiao
2088,把自己留下
2089,亲，币，懂    ？
2090,艺术不需要马赛克‘
2091,裤子动了
2092,留下空气
2093,狙击手报告:根本看不见
2094,先开除道具师
2095,留下纱雾
2096,jio印
2097,留下个脚印
2098,留下jiojio
2099,留个爪爪
2100,又是一个名场面
2101,正宫家中坐，帽从天上来
2102,一半了
2103,丧（gan）心（de）病（piao）狂（liang）
2104,留个脚印
2105,班长没了吗
2106,狼虎之词
2107,ko no
2108,老绅士了
2109,丧（gan）心（de）病（piao）狂（liang）
2110,baka
2111,母子？
2112,留下juo印
2113,留个爪爪
2114,吆西
2115,做做
2116,留下脚气
2117,这是书店老扳
2118,前方高萌
2119,留下液体
2120,jiao
2121,留下jiu印
2122,OAD呢，
2123,jio印
2124,前方高能
2125,论正确的遮眼方式
2126,留下jio jio
2127,。。。。。
2128,危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危
2129,留脚印了啦啦啦
2130,撒花撒花～
2131,谁把车门焊死了
2132,留下jiojio
2133,牛批
2134,祖传痴汉笑
2135,全屏马赛克看你妹吗
2136,发现萌物
2137,还有两级的ova呢
2138,男孩子要注意保护好自己
2139,感谢
2140,撒花撒花～
2141,。。。。。。
2142,给她看！！！
2143,！！！！！！！
2144,不得了，不得了
2145,！！！！
2146,！！！！！！！！！！！！
2147,！！！！
2148,少女口阿
2149,！！！！！！！！！！！
2150,！！！！！！！！！！！
2151,左下角
2152,。。。。。
2153,车车，好快的车车！
2154,来至一位绅士的提醒：前方闭眼食用更佳
2155,留下小jio子
2156,//
2157,留下jio印
2158,持续高萌
2159,前方“淑女”预警
2160,前方高能，非战斗人员尽快撤离！
2161,流下小蝌蚪
2162,那样的名头的人是不会知道那样名头的人是不会知道那样名头的人的
2163,眼睛没了
2164,拜拜啦
2165,期待下一季
2166,亲一个
2167,艺术品啊
2168,摸什么按手印啊
2169,给美国空投弹药
2170,留下爪子
2171,下亿季见
2172,好颜艺
2173,握草
2174,啧啧啧
2175,马赛克哈哈哈哈
2176,拜拜
2177,香辣味jio气
2178,それは...
2179,[null]
2180,下亿季见
2181,留下硬币
2182,留个硬币。
2183,齁你毛
2184,太羞耻了
2185,撒花
2186,留下jio印
2187,留下DNA
2188,班长还没意识到事情的严重性
2189,留下中分
2190,非静止画面
2191,留下DNA
2192,现在这也是有泡泡茶壶的
2193,留下jio印
2194,◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣拜拜◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥◣◥
2195,全裸
2196,留个脚印
2197,马达啦
2198,缘分的天空
2199,连肝一季
2200,班~长
2201,聊天鬼才
2202,index
2203,危危危危危危危危危危危危危危危危危
2204,灵魂拷问……危危危危危危危
2205,危危危危危危危危危危危危危危危危危危危危
2206,危危危危危危
2207,老伸士了
2208,没~蛋~蛋~
2209,留个爪子
2210,留个小爪印。
2211,嘿嘿嘿
2212,留下jio印
2213,留下智子
2214,留下口工
2215,留个小爪爪
2216,留个小爪爪
2217,班长知道
2218,原形毕露
2219,补肾丸xswl
2220,下一站：CLANNAD
2221,射射，已经谢了
2222,你不就是吗
2223,精德狂喜
2224,留下jio印
2225,可以
2226,留下鞋垫
2227,咔咔咔
2228,够了够了
2229,一手油哈哈哈
2230,哥哥稳赚不亏
2231,前方核能
2232,感谢陪伴
2233,留下jio印
2234,缘x空
2235,咦     万恶的马赛克
2236,暴躁的火影玩家们
2237,吾疑汝且飚之，奈何吾示众，任其车轱辘轧于吾脸之上，甚痛！
